tanggal,musim,tahun,bulan,jam,hari_libur,hari,hari_kerja,cuaca,suhu1,suhu2,kelembapan,laju_angin,Penyewa_NonMember,Penyewa_Member,Total_Penyewa
2012-01-01,Semi,2012,Jan,0,Hari_Kerja,Minggu,Hari_Libur,Cerah,14.76,18.94,66.0,0.0,5,43,48
2012-01-01,Semi,2012,Jan,1,Hari_Kerja,Minggu,Hari_Libur,Cerah,14.76,17.424999999999997,66.0,8.9981,15,78,93
2012-01-01,Semi,2012,Jan,2,Hari_Kerja,Minggu,Hari_Libur,Cerah,13.120000000000001,17.424999999999997,76.0,0.0,16,59,75
2012-01-01,Semi,2012,Jan,3,Hari_Kerja,Minggu,Hari_Libur,Cerah,12.299999999999999,16.665,81.0,0.0,11,41,52
2012-01-01,Semi,2012,Jan,4,Hari_Kerja,Minggu,Hari_Libur,Cerah,11.48,15.15,81.0,6.0032,0,8,8
2012-01-01,Semi,2012,Jan,5,Hari_Kerja,Minggu,Hari_Libur,Cerah,11.48,14.395,81.0,7.0015,0,5,5
2012-01-01,Semi,2012,Jan,6,Hari_Kerja,Minggu,Hari_Libur,Cerah,10.66,13.635,93.0,8.9981,1,1,2
2012-01-01,Semi,2012,Jan,7,Hari_Kerja,Minggu,Hari_Libur,Cerah,10.66,12.879999999999999,93.0,11.0014,1,6,7
2012-01-01,Semi,2012,Jan,8,Hari_Kerja,Minggu,Hari_Libur,Cerah,10.66,13.635,87.0,7.0015,4,10,14
2012-01-01,Semi,2012,Jan,9,Hari_Kerja,Minggu,Hari_Libur,Cerah,10.66,13.635,93.0,7.0015,13,27,40
2012-01-01,Semi,2012,Jan,10,Hari_Kerja,Minggu,Hari_Libur,Cerah,12.299999999999999,15.909999999999998,81.0,7.0015,18,52,70
2012-01-01,Semi,2012,Jan,11,Hari_Kerja,Minggu,Hari_Libur,Cerah,13.940000000000001,16.665,76.0,8.9981,40,98,138
2012-01-01,Semi,2012,Jan,12,Hari_Kerja,Minggu,Hari_Libur,Cerah,16.400000000000002,20.455000000000002,62.0,19.0012,58,143,201
2012-01-01,Semi,2012,Jan,13,Hari_Kerja,Minggu,Hari_Libur,Cerah,17.22,21.21,57.99999999999999,19.0012,82,141,223
2012-01-01,Semi,2012,Jan,14,Hari_Kerja,Minggu,Hari_Libur,Cerah,18.04,21.97,54.0,19.999499999999998,120,147,267
2012-01-01,Semi,2012,Jan,15,Hari_Kerja,Minggu,Hari_Libur,Cerah,18.86,22.725,51.0,19.999499999999998,101,164,265
2012-01-01,Semi,2012,Jan,16,Hari_Kerja,Minggu,Hari_Libur,Berawan,18.04,21.97,54.0,19.999499999999998,68,147,215
2012-01-01,Semi,2012,Jan,17,Hari_Kerja,Minggu,Hari_Libur,Berawan,19.68,23.485,48.0,11.0014,36,75,111
2012-01-01,Semi,2012,Jan,18,Hari_Kerja,Minggu,Hari_Libur,Hujan_Ringan,18.86,22.725,59.0,16.997899999999998,25,81,106
2012-01-01,Semi,2012,Jan,19,Hari_Kerja,Minggu,Hari_Libur,Hujan_Ringan,17.22,21.21,67.0,26.0027,20,85,105
2012-01-01,Semi,2012,Jan,20,Hari_Kerja,Minggu,Hari_Libur,Berawan,18.04,21.97,62.0,19.999499999999998,25,58,83
2012-01-01,Semi,2012,Jan,21,Hari_Kerja,Minggu,Hari_Libur,Berawan,18.04,21.97,67.0,16.997899999999998,10,61,71
2012-01-01,Semi,2012,Jan,22,Hari_Kerja,Minggu,Hari_Libur,Cerah,18.86,22.725,55.00000000000001,27.999299999999998,13,53,66
2012-01-01,Semi,2012,Jan,23,Hari_Kerja,Minggu,Hari_Libur,Cerah,18.04,21.97,51.0,19.999499999999998,4,25,29
2012-01-02,Semi,2012,Jan,0,Hari_Libur,Senin,Hari_Libur,Cerah,16.400000000000002,20.455000000000002,40.0,31.0009,8,31,39
2012-01-02,Semi,2012,Jan,1,Hari_Libur,Senin,Hari_Libur,Cerah,14.76,16.665,43.0,27.999299999999998,1,11,12
2012-01-02,Semi,2012,Jan,2,Hari_Libur,Senin,Hari_Libur,Cerah,14.76,15.909999999999998,34.0,30.002599999999997,1,6,7
2012-01-02,Semi,2012,Jan,4,Hari_Libur,Senin,Hari_Libur,Cerah,11.48,12.879999999999999,45.0,22.0028,0,4,4
2012-01-02,Semi,2012,Jan,5,Hari_Libur,Senin,Hari_Libur,Cerah,11.48,12.879999999999999,45.0,22.0028,1,3,4
